Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,White,Black or African American,Asian,American Indian and Alaska Native,Hawaiian and Other Pacific Islander,Two or More Mixed,Other
10026,37871.0,33.6,43107.0,28674.0,10640,28.09537640938977,8837.0,22800.0,1456.0,11,0,933.0,3834.0
10027,62617.0,30.7,37872.0,27349.0,16581,26.480029384991298,17822.0,26276.0,5661.0,112,52,2577.0,10117.0
10028,44295.0,40.3,104638.0,107679.0,2538,5.72976633931595,39452.0,682.0,2830.0,30,74,861.0,366.0
10029,77454.0,33.5,31888.0,25270.0,21062,27.19291450409275,27158.0,23492.0,6907.0,158,149,2183.0,17407.0
10030,28472.0,34.0,31925.0,23992.0,7954,27.936218038774935,4301.0,19279.0,996.0,156,0,2490.0,1250.0
10031,59092.0,33.0,37655.0,23322.0,16139,27.311649631083736,16260.0,20403.0,1148.0,248,46,9746.0,11241.0
10032,59374.0,34.5,34568.0,19005.0,16743,28.199211776198336,16931.0,13442.0,1764.0,730,0,3701.0,22806.0
10033,58710.0,35.9,41556.0,23403.0,14274,24.312723556463975,24130.0,5294.0,1597.0,138,143,2457.0,24951.0
10034,41510.0,36.5,41171.0,22909.0,10697,25.769694049626597,15031.0,3790.0,819.0,190,164,2139.0,19377.0
10035,33488.0,34.2,24533.0,19541.0,13486,40.271141901576684,7069.0,13173.0,1366.0,160,0,1264.0,10456.0
10036,23132.0,38.2,66599.0,68213.0,3174,13.72125194535708,15333.0,1846.0,3853.0,84,0,803.0,1213.0
10037,17377.0,37.6,37341.0,25535.0,4327,24.90073085112505,1459.0,13227.0,564.0,38,0,990.0,1099.0
10038,20082.0,32.4,66074.0,58768.0,3679,18.319888457324968,10072.0,1451.0,6568.0,296,0,248.0,1447.0
10039,26577.0,33.3,33595.0,19675.0,7664,28.836964292433308,3743.0,18027.0,351.0,224,0,1005.0,3227.0
10040,44825.0,37.0,42721.0,23593.0,9909,22.10596765197992,17602.0,4135.0,1210.0,69,0,1637.0,20172.0
10044,12346.0,40.2,83066.0,43053.0,1218,9.865543495869108,6845.0,2159.0,2372.0,73,0,583.0,314.0
10065,32797.0,38.9,115519.0,119546.0,1718,5.238283989389274,28316.0,885.0,2819.0,31,16,552.0,178.0
10069,5118.0,38.1,170630.0,123349.0,229,4.474404064087534,3828.0,166.0,1013.0,0,0,63.0,48.0
10075,24849.0,40.9,102941.0,106575.0,1719,6.917783411807316,21989.0,360.0,1448.0,65,0,450.0,537.0
10103,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10110,2.0,-666666666.0,-666666666.0,,1,50.0,1.0,0.0,0.0,0,0,1.0,0.0
10111,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10112,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10115,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10119,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
